arabic,source_count,sources,sample_indo
تمر,5,Tebak Gambar | Tulis Arab | Challenge | Match | Roleplay,Kurma | tamr (kurma) | kurma
الحمد لله,5,Cerita | Perkenalan Diri | Lesson Umrah | Tulis Arab | Match,Segala puji bagi Allah | Alhamdulillah. | Alhamdulillah
شكرا جزيلا,5,Cerita | Lesson Umrah | Tulis Arab | Challenge | Roleplay,"""Terima kasih banyak."" | Terima kasih banyak. | Terima kasih banyak"
ماء,4,Tebak Gambar | Lesson Umrah | Match | Ngomong,Air | air
صباح الخير,4,Cerita | Lesson Umrah | Lesson Pelajar | Challenge,"Selamat pagi | Bagaimana mengucap ""Selamat pagi""?"
خبز,3,Tebak Gambar | Cerita | Ngomong,Roti | roti
شاي,3,Tebak Gambar | Lesson Umrah | Ngomong,Teh | teh
أرز,3,Tebak Gambar | Lesson Umrah | Ngomong,Nasi | nasi
لحم,3,Tebak Gambar | Lesson Umrah | Ngomong,Daging | daging
مسجد,3,Tebak Gambar | Tulis Arab | Match,Masjid | masjid (masjid) | masjid
كتاب,3,Tebak Gambar | Match | Ngomong,Buku | kitab/buku | buku
ملعقة,3,Tebak Gambar | Lesson Umrah | Ngomong,Sendok | Sendok takar | sendok
هدية,3,Tebak Gambar | Cerita | Lesson Umrah,Hadiah
كرة القدم,3,Tebak Gambar | Perkenalan Diri | Lesson Pelajar,Sepak Bola | Sepak bola
غالي,3,Cerita | Tulis Arab | Match,Mahal | ghaali (mahal) | mahal (ghali)
ماء زمزم,3,Cerita | Lesson Umrah | Challenge,Air Zam-zam | Air zamzam | Air zam-zam
قهوة عربية,3,Cerita | Challenge | Roleplay,Kopi Arab
كيف حالك,3,Cerita | Lesson Umrah | Tulis Arab,"Apa kabar (untuk perempuan) | Cara tanya ""Apa kabar"" ke perempuan... | Apa kabar"
من أين أنت,3,Perkenalan Diri | Lesson Umrah | Tulis Arab,Dari mana asalmu? | Bagaimana cara tanya asal seseorang? | Dari mana asalmu
بعيد,3,Lesson Umrah | Challenge | Roleplay,Jauh
قريب,3,Lesson Umrah | Challenge | Roleplay,Dekat
جزاك الله خيرا,3,Lesson Umrah | Lesson Pelajar | Match,Semoga Allah membalas kebaikan Anda. | Semoga Allah balas. | Semoga Allah balas kebaikanmu.
يمين,3,Lesson Umrah | Match | Roleplay,Kanan | kanan (yamin)
الفاتورة,3,Lesson Umrah | Lesson Profesional | Challenge,Tagihan | Faktur | Tagihan/Struk
نعم تفضل,3,Lesson Umrah | Lesson Profesional | Lesson Pelajar,"Iya, silakan."
رخيص,3,Lesson Umrah | Tulis Arab | Match,Murah | rakhiis (murah) | murah (rakhis)
خصم,3,Lesson Umrah | Lesson Profesional | Challenge,Diskon | Diskon/Potongan
السلام عليكم,3,Tulis Arab | Challenge | Roleplay,Assalamu'alaikum | Semoga keselamatan untukmu | Salam pembuka
قهوة,2,Tebak Gambar | Lesson Umrah,Kopi
دجاج,2,Tebak Gambar | Lesson Umrah,Ayam
الكعبة,2,Tebak Gambar | Lesson Umrah,Ka'bah
فندق,2,Tebak Gambar | Cerita,Hotel
مطار,2,Tebak Gambar | Cerita,Bandara
بيت,2,Tebak Gambar | Match,Rumah | rumah (bayt)
المدينة,2,Tebak Gambar | Match,Kota Madinah | Madinah
سمك,2,Tebak Gambar | Lesson Umrah,Ikan
صحراء,2,Tebak Gambar | Cerita,Padang Pasir | Padang pasir
قلم,2,Tebak Gambar | Ngomong,Pena | pena
هاتف,2,Tebak Gambar | Ngomong,Telepon | telepon
ساعة,2,Tebak Gambar | Ngomong,Jam | jam
مفتاح,2,Tebak Gambar | Ngomong,Kunci | kunci
حقيبة,2,Tebak Gambar | Ngomong,Tas | tas
نظارة,2,Tebak Gambar | Ngomong,Kacamata | kacamata
مرآة,2,Tebak Gambar | Ngomong,Cermin | cermin
سرير,2,Tebak Gambar | Ngomong,Tempat Tidur | tempat tidur
خزانة,2,Tebak Gambar | Ngomong,Lemari | lemari
باب,2,Tebak Gambar | Lesson Umrah,Pintu | Pintu (gate)
مصباح,2,Tebak Gambar | Ngomong,Lampu | lampu
شوكة,2,Tebak Gambar | Ngomong,Garpu | garpu
سكين,2,Tebak Gambar | Ngomong,Pisau | pisau
صابون,2,Tebak Gambar | Ngomong,Sabun | sabun
أذان,2,Tebak Gambar | Cerita,Adzan | Adzan (panggilan shalat)
حافلة,2,Tebak Gambar | Cerita,Bus
