arabic,translations,locations
ب,"ba | ba (1 titik bawah) | ba + fatha (ba) | ba + kasra (bi) | ba + dhamma (bu) | ba + sukun (b mati) | ba sukun (b mati) — di ""lab""","Tulis Arab/mengenal-huruf/L1/ba: ba | Tulis Arab/mengenal-huruf/L2/ba (1 titik bawah): ba (1 titik bawah) | Tulis Arab/mengenal-huruf/L3/ba + fatha (ba): ba + fatha (ba) | Tulis Arab/mengenal-huruf/L3/ba + kasra (bi): ba + kasra (bi) | Tulis Arab/mengenal-huruf/L3/ba + dhamma (bu): ba + dhamma (bu) | Tulis Arab/mengenal-huruf/L3/ba + sukun (b mati): ba + sukun (b mati) | Tulis Arab/cara-baca/L6/ba sukun (b mati) — di ""lab"": ba sukun (b mati) — di ""lab"" | Match/level1/q1/ba: ba"
الحمد لله,Segala puji bagi Allah | Alhamdulillah. | Alhamdulillah | Alhamdulillah (segala puji bagi Allah),Cerita/tiba-di-madinah/page7/vocab: Segala puji bagi Allah | Perkenalan Diri/nama/vocab: Segala puji bagi Allah | Lesson Umrah/restoran-makanan/conv1/line2: Alhamdulillah. | Lesson Umrah/sosial-salam/vocab: Alhamdulillah | Tulis Arab/menulis-kalimat/L12/Alhamdulillah: Alhamdulillah | Match/level4/q36/Alhamdulillah (segala puji bagi Allah): Alhamdulillah (segala puji bagi Allah)
تمر,Kurma | tamr (kurma) | kurma,Tebak Gambar/makanan/tamr: Kurma | Tulis Arab/menulis-kata/L8/tamr (kurma): tamr (kurma) | Challenge/pasar-madinah/L3/q0: Kurma | Match/level2/q19/kurma: kurma | Roleplay/order-kopi/vocab: Kurma
صباح الخير,"Selamat pagi | Bagaimana mengucap ""Selamat pagi""?","Cerita/sarapan-hotel/page1/vocab: Selamat pagi | Cerita/sarapan-hotel/endQuiz#1: Bagaimana mengucap ""Selamat pagi""? | Lesson Umrah/sosial-salam/vocab: Selamat pagi | Lesson Pelajar/sapa-guru/vocab: Selamat pagi | Challenge/pasar-madinah/L1/q2: Selamat pagi"
لماذا,Kenapa? | Mengapa?,Lesson Profesional/diskusi-pendapat/conv0/line1: Kenapa? | Lesson Profesional/cuti-izin/conv3/line1: Kenapa? | Lesson Pelajar/tanya-diskusi/conv3/line2: Mengapa? | Lesson Pelajar/minta-izin-kelas/conv5/line1: Mengapa? | Lesson Pelajar/tugas-ujian/conv5/line1: Kenapa?
كيف حالك,"Apa kabar (untuk perempuan) | Cara tanya ""Apa kabar"" ke perempuan... | Apa kabar | Apa kabar?","Cerita/telepon-keluarga/page1/vocab: Apa kabar (untuk perempuan) | Cerita/telepon-keluarga/endQuiz#1: Cara tanya ""Apa kabar"" ke perempuan... | Lesson Umrah/sosial-salam/vocab: Apa kabar | Tulis Arab/menulis-kalimat/L10/Apa kabar?: Apa kabar?"
ما اسمك,Siapa namamu? (ke laki) | Siapa namamu? (ke perempuan) | Cara tanya nama ke perempuan? | Siapa namamu?,Perkenalan Diri/nama/vocab: Siapa namamu? (ke laki) | Perkenalan Diri/nama/vocab: Siapa namamu? (ke perempuan) | Perkenalan Diri/nama/quiz#3: Cara tanya nama ke perempuan? | Tulis Arab/menulis-kalimat/L10/Siapa namamu?: Siapa namamu?
من أين أنت,Dari mana asalmu? | Bagaimana cara tanya asal seseorang? | Dari mana asalmu,Perkenalan Diri/asal/vocab: Dari mana asalmu? | Perkenalan Diri/asal/quiz#0: Bagaimana cara tanya asal seseorang? | Lesson Umrah/sosial-salam/vocab: Dari mana asalmu | Tulis Arab/menulis-kalimat/L10/Dari mana asalmu?: Dari mana asalmu?
جزاك الله خيرا,Semoga Allah membalas kebaikan Anda. | Semoga Allah balas. | Semoga Allah balas kebaikanmu. | Jazakallahu khairan (semoga Allah balas kebaikan),Lesson Umrah/transportasi-hotel/conv6/line3: Semoga Allah membalas kebaikan Anda. | Lesson Pelajar/minta-izin-kelas/conv4/line2: Semoga Allah balas. | Lesson Pelajar/kantin/conv2/line3: Semoga Allah balas kebaikanmu. | Match/level4/q38/Jazakallahu khairan (semoga Allah balas kebaikan): Jazakallahu khairan (semoga Allah balas kebaikan)
ما السبب,Sebabnya? | Penyebabnya? | Apa sebabnya?,Lesson Profesional/jadwal-tugas/conv2/line1: Sebabnya? | Lesson Profesional/krisis-masalah/conv4/line1: Penyebabnya? | Lesson Pelajar/minta-izin-kelas/conv1/line1: Apa sebabnya? | Lesson Pelajar/minta-izin-kelas/conv2/line1: Sebabnya?
