arabic,indo,count,sources,locations
مَاء,Air,5,Tebak Gambar | Lesson Umrah | Match | Ngomong | Ngomong,makanan/maa' | restoran-makanan/vocab | level2/q17/air | kata/kata-mandi/item3 | kata/kata-makanan/item4
شُكْرًا جَزِيلًا,"""Terima kasih banyak.""",5,Cerita | Lesson Umrah | Tulis Arab | Challenge | Roleplay,tanya-waktu-sholat/page3/line0 | bandara-imigrasi/conv3/line2 | menulis-kalimat/L11/Terima kasih banyak | pasar-madinah/L5/q2 | tanya-arah/vocab
تَمْر,Kurma,4,Tebak Gambar | Challenge | Match | Roleplay,makanan/tamr | pasar-madinah/L3/q0 | level2/q19/kurma | order-kopi/vocab
صَبَاحُ الْخَيْر,Selamat pagi,4,Cerita | Lesson Umrah | Lesson Pelajar | Challenge,sarapan-hotel/page1/vocab | sosial-salam/vocab | sapa-guru/vocab | pasar-madinah/L1/q2
بَعِيد,Jauh,4,Lesson Umrah | Lesson Umrah | Challenge | Roleplay,transportasi-hotel/vocab | arah-lokasi/vocab | pasar-madinah/L4/q2 | tanya-arah/vocab
قَرِيب,Dekat,4,Lesson Umrah | Lesson Umrah | Challenge | Roleplay,transportasi-hotel/vocab | arah-lokasi/vocab | pasar-madinah/L4/q1 | tanya-arah/vocab
خُبْز,Roti,3,Tebak Gambar | Cerita | Ngomong,makanan/khubz | sarapan-hotel/page2/vocab | kata/kata-makanan/item0
شَاي,Teh,3,Tebak Gambar | Lesson Umrah | Ngomong,makanan/shay | restoran-makanan/vocab | kata/kata-makanan/item5
أَرُزّ,Nasi,3,Tebak Gambar | Lesson Umrah | Ngomong,makanan/aruzz | restoran-makanan/vocab | kata/kata-makanan/item1
لَحْم,Daging,3,Tebak Gambar | Lesson Umrah | Ngomong,makanan/lahm | restoran-makanan/vocab | kata/kata-makanan/item2
الْكَعْبَة,Ka'bah,3,Tebak Gambar | Tebak Gambar | Lesson Umrah,tempat/al-ka'ba | pakaian-umrah/al-ka'ba | masjidil-haram/vocab
هَدِيَّة,Hadiah,3,Tebak Gambar | Cerita | Lesson Umrah,pakaian-umrah/hadiya | salman-al-farisi/page6/vocab | pasar-belanja/vocab
كُرَة الْقَدَم,Sepak Bola,3,Tebak Gambar | Perkenalan Diri | Lesson Pelajar,olahraga/kurat al-qadam | hobi/vocab | olahraga-budaya/vocab
قَهْوَة عَرَبِيَّة,Kopi Arab,3,Cerita | Challenge | Roleplay,order-kopi-saudi/page0/vocab | tower-zamzam/L3/q1 | order-kopi/vocab
مِنْ أَيْنَ أَنْتَ؟,Dari mana asalmu?,3,Perkenalan Diri | Lesson Umrah | Tulis Arab,asal/vocab | sosial-salam/vocab | menulis-kalimat/L10/Dari mana asalmu?
الحَمْدُ لِلَّه.,Alhamdulillah.,3,Lesson Umrah | Lesson Umrah | Tulis Arab,restoran-makanan/conv1/line2 | sosial-salam/vocab | menulis-kalimat/L12/Alhamdulillah
نَعَم، تَفَضَّل.,"Iya, silakan.",3,Lesson Umrah | Lesson Profesional | Lesson Pelajar,restoran-makanan/conv4/line3 | telepon-bisnis/conv2/line3 | administrasi-kampus/conv0/line2
لِمَاذَا؟,Kenapa?,3,Lesson Profesional | Lesson Profesional | Lesson Pelajar,diskusi-pendapat/conv0/line1 | cuti-izin/conv3/line1 | tugas-ujian/conv5/line1
قَهْوَة,Kopi,2,Tebak Gambar | Lesson Umrah,makanan/qahwa | restoran-makanan/vocab
دَجَاج,Ayam,2,Tebak Gambar | Lesson Umrah,makanan/dajaj | restoran-makanan/vocab
مَسْجِد,Masjid,2,Tebak Gambar | Match,tempat/masjid | level2/q18/masjid
فُنْدُق,Hotel,2,Tebak Gambar | Cerita,tempat/funduq | pesan-hotel/page0/vocab
مَطَار,Bandara,2,Tebak Gambar | Cerita,tempat/matar | tiba-di-madinah/page0/vocab
سَمَك,Ikan,2,Tebak Gambar | Lesson Umrah,hewan-alam/samak | restoran-makanan/vocab
صَحْرَاء,Padang Pasir,2,Tebak Gambar | Cerita,hewan-alam/sahra' | taksi-mekkah/page6/vocab
